"obs_error","rate_of_change","replicate","sim_fisher_min_ts60","sim_log_fisher_min_ts60","regime_shift_time_ts60"
0,5e-04,1,440,440,579.694915254237
0.05,5e-04,2,480,430,579.694915254237
0.1,5e-04,3,330,410,579.694915254237
0.15,5e-04,4,480,480,579.694915254237
0.2,5e-04,5,480,480,579.694915254237
0.25,5e-04,6,310,590,579.694915254237
0.3,5e-04,7,540,590,579.694915254237
0,6e-04,8,590,590,11.1525423728814
0.05,6e-04,9,550,590,11.1525423728814
0.1,6e-04,10,370,590,11.1525423728814
0.15,6e-04,11,590,590,11.1525423728814
0.2,6e-04,12,430,590,11.1525423728814
0.25,6e-04,13,590,440,11.1525423728814
0.3,6e-04,14,590,590,11.1525423728814
0,7e-04,15,570,570,417.254237288136
0.05,7e-04,16,380,590,417.254237288136
0.1,7e-04,17,590,590,417.254237288136
0.15,7e-04,18,570,570,417.254237288136
0.2,7e-04,19,570,570,417.254237288136
0.25,7e-04,20,490,590,417.254237288136
0.3,7e-04,21,570,570,417.254237288136
0,8e-04,22,540,510,366.491525423729
0.05,8e-04,23,430,510,366.491525423729
0.1,8e-04,24,530,540,366.491525423729
0.15,8e-04,25,530,540,366.491525423729
0.2,8e-04,26,530,530,366.491525423729
0.25,8e-04,27,510,540,366.491525423729
0.3,8e-04,28,440,510,366.491525423729
0,9e-04,29,510,440,325.881355932203
0.05,9e-04,30,530,470,325.881355932203
0.1,9e-04,31,440,470,325.881355932203
0.15,9e-04,32,440,470,325.881355932203
0.2,9e-04,33,440,470,325.881355932203
0.25,9e-04,34,440,500,325.881355932203
0.3,9e-04,35,470,530,325.881355932203
0,0.001,36,440,460,285.271186440678
0.05,0.001,37,400,460,285.271186440678
0.1,0.001,38,450,440,285.271186440678
0.15,0.001,39,400,440,285.271186440678
0.2,0.001,40,400,460,285.271186440678
0.25,0.001,41,420,440,285.271186440678
0.3,0.001,42,420,450,285.271186440678
0,0.0011,43,410,410,264.966101694915
0.05,0.0011,44,410,410,264.966101694915
0.1,0.0011,45,410,410,264.966101694915
0.15,0.0011,46,310,410,264.966101694915
0.2,0.0011,47,420,420,264.966101694915
0.25,0.0011,48,320,460,264.966101694915
0.3,0.0011,49,460,430,264.966101694915
0,0.0012,50,410,410,244.661016949153
0.05,0.0012,51,410,430,244.661016949153
0.1,0.0012,52,380,380,244.661016949153
0.15,0.0012,53,420,420,244.661016949153
0.2,0.0012,54,380,430,244.661016949153
0.25,0.0012,55,380,450,244.661016949153
0.3,0.0012,56,400,410,244.661016949153
0,0.0013,57,280,340,224.35593220339
0.05,0.0013,58,280,360,224.35593220339
0.1,0.0013,59,280,340,224.35593220339
0.15,0.0013,60,280,340,224.35593220339
0.2,0.0013,61,270,340,224.35593220339
0.25,0.0013,62,320,340,224.35593220339
0.3,0.0013,63,360,350,224.35593220339
0,0.0014,64,340,340,204.050847457627
0.05,0.0014,65,350,370,204.050847457627
0.1,0.0014,66,350,370,204.050847457627
0.15,0.0014,67,350,400,204.050847457627
0.2,0.0014,68,350,370,204.050847457627
