obs_error,rate_of_change,replicate,sim_fisher_min,sim_log_fisher_min,regime_shift_time
0,5.00E-04,1,307,307,572
0.05,5.00E-04,2,309,307,572
0.1,5.00E-04,3,303,317,572
0.15,5.00E-04,4,314,319,572
0.2,5.00E-04,5,318,320,572
0.25,5.00E-04,6,305,303,572
0.3,5.00E-04,7,314,320,572
0,6.00E-04,8,582,593,476
0.05,6.00E-04,9,582,592,476
0.1,6.00E-04,10,582,592,476
0.15,6.00E-04,11,583,592,476
0.2,6.00E-04,12,583,589,476
0.25,6.00E-04,13,583,599,476
0.3,6.00E-04,14,589,591,476
0,7.00E-04,15,514,516,409
0.05,7.00E-04,16,515,516,409
0.1,7.00E-04,17,514,516,409
0.15,7.00E-04,18,515,516,409
0.2,7.00E-04,19,516,517,409
0.25,7.00E-04,20,517,517,409
0.3,7.00E-04,21,515,517,409
0,8.00E-04,22,472,473,358
0.05,8.00E-04,23,472,473,358
0.1,8.00E-04,24,473,473,358
0.15,8.00E-04,25,471,473,358
0.2,8.00E-04,26,472,474,358
0.25,8.00E-04,27,473,474,358
0.3,8.00E-04,28,474,474,358
0,9.00E-04,29,423,352,318
0.05,9.00E-04,30,425,352,318
0.1,9.00E-04,31,422,352,318
0.15,9.00E-04,32,421,349,318
0.2,9.00E-04,33,377,352,318
0.25,9.00E-04,34,424,352,318
0.3,9.00E-04,35,430,353,318
0,0.001,36,393,317,285
0.05,0.001,37,393,317,285
0.1,0.001,38,393,317,285
0.15,0.001,39,395,316,285
0.2,0.001,40,391,317,285
0.25,0.001,41,399,316,285
0.3,0.001,42,342,315,285
0,0.0011,43,367,368,261
0.05,0.0011,44,367,368,261
0.1,0.0011,45,368,368,261
0.15,0.0011,46,366,368,261
0.2,0.0011,47,368,368,261
0.25,0.0011,48,370,369,261
0.3,0.0011,49,368,370,261
0,0.0012,50,336,336,239
0.05,0.0012,51,336,336,239
0.1,0.0012,52,336,336,239
0.15,0.0012,53,336,336,239
0.2,0.0012,54,337,336,239
0.25,0.0012,55,337,336,239
0.3,0.0012,56,336,336,239
0,0.0013,57,316,246,220
0.05,0.0013,58,271,246,220
0.1,0.0013,59,271,245,220
0.15,0.0013,60,270,243,220
0.2,0.0013,61,271,246,220
0.25,0.0013,62,271,247,220
0.3,0.0013,63,321,246,220
0,0.0014,64,300,300,206
0.05,0.0014,65,300,300,206
0.1,0.0014,66,300,300,206
0.15,0.0014,67,300,300,206
0.2,0.0014,68,300,300,206
0.25,0.0014,69,301,302,206
0.3,0.0014,70,301,301,206
0,0.0015,71,293,212,190
