"obs_error","rate_of_change","fisher_min_mean_ts60","log_fisher_min_mean_ts60","regime_shift_time_mean_ts60","fisher_diff_mean_ts60","fisher_log_diff_mean_ts60"
0,5e-04,440,440,579.694915254237,139.694915254237,139.694915254237
0,6e-04,590,590,11.1525423728814,-578.847457627119,-578.847457627119
0,7e-04,570,570,417.254237288136,-152.745762711864,-152.745762711864
0,8e-04,540,510,366.491525423729,-173.508474576271,-143.508474576271
0,9e-04,510,440,325.881355932203,-184.118644067797,-114.118644067797
0,0.001,440,460,285.271186440678,-154.728813559322,-174.728813559322
0,0.0011,410,410,264.966101694915,-145.033898305085,-145.033898305085
0,0.0012,410,410,244.661016949153,-165.338983050847,-165.338983050847
0,0.0013,280,340,224.35593220339,-55.6440677966102,-115.64406779661
0,0.0014,340,340,204.050847457627,-135.949152542373,-135.949152542373
0,0.0015,350,360,193.898305084746,-156.101694915254,-166.101694915254
0.05,5e-04,479,455,579.694915254237,100.694915254237,124.694915254237
0.05,6e-04,493,570,11.1525423728814,-481.847457627119,-558.847457627119
0.05,7e-04,534,587,417.254237288136,-116.745762711864,-169.745762711864
0.05,8e-04,474,519,366.491525423729,-107.508474576271,-152.508474576271
0.05,9e-04,462,455,325.881355932203,-136.118644067797,-129.118644067797
0.05,0.001,421,433,285.271186440678,-135.728813559322,-147.728813559322
0.05,0.0011,382,418,264.966101694915,-117.033898305085,-153.033898305085
0.05,0.0012,402,395,244.661016949153,-157.338983050847,-150.338983050847
0.05,0.0013,284,344,224.35593220339,-59.6440677966102,-119.64406779661
0.05,0.0014,339,353,204.050847457627,-134.949152542373,-148.949152542373
0.05,0.0015,307,350,193.898305084746,-113.101694915254,-156.101694915254
0.1,5e-04,457,441,579.694915254237,122.694915254237,138.694915254237
0.1,6e-04,463,590,11.1525423728814,-451.847457627119,-578.847457627119
0.1,7e-04,528,582,417.254237288136,-110.745762711864,-164.745762711864
0.1,8e-04,500,525,366.491525423729,-133.508474576271,-158.508474576271
0.1,9e-04,406,460,325.881355932203,-80.1186440677966,-134.118644067797
0.1,0.001,407,445,285.271186440678,-121.728813559322,-159.728813559322
0.1,0.0011,391,426,264.966101694915,-126.033898305085,-161.033898305085
0.1,0.0012,364,404,244.661016949153,-119.338983050847,-159.338983050847
0.1,0.0013,294,349,224.35593220339,-69.6440677966102,-124.64406779661
0.1,0.0014,360,358,204.050847457627,-155.949152542373,-153.949152542373
0.1,0.0015,277,340,193.898305084746,-83.1016949152542,-146.101694915254
0.15,5e-04,460,441,579.694915254237,119.694915254237,138.694915254237
0.15,6e-04,542,553,11.1525423728814,-530.847457627119,-541.847457627119
0.15,7e-04,569,579,417.254237288136,-151.745762711864,-161.745762711864
0.15,8e-04,513,531,366.491525423729,-146.508474576271,-164.508474576271
0.15,9e-04,460,497,325.881355932203,-134.118644067797,-171.118644067797
0.15,0.001,420,451,285.271186440678,-134.728813559322,-165.728813559322
0.15,0.0011,379,419,264.966101694915,-114.033898305085,-154.033898305085
0.15,0.0012,379,396,244.661016949153,-134.338983050847,-151.338983050847
0.15,0.0013,294,330,224.35593220339,-69.6440677966102,-105.64406779661
0.15,0.0014,326,357,204.050847457627,-121.949152542373,-152.949152542373
0.15,0.0015,309,341,193.898305084746,-115.101694915254,-147.101694915254
0.2,5e-04,494,438,579.694915254237,85.6949152542373,141.694915254237
0.2,6e-04,473,533,11.1525423728814,-461.847457627119,-521.847457627119
0.2,7e-04,488,573,417.254237288136,-70.7457627118644,-155.745762711864
0.2,8e-04,492,529,366.491525423729,-125.508474576271,-162.508474576271
0.2,9e-04,463,479,325.881355932203,-137.118644067797,-153.118644067797
0.2,0.001,409,453,285.271186440678,-123.728813559322,-167.728813559322
0.2,0.0011,396,412,264.966101694915,-131.033898305085,-147.033898305085
