"obs_error","rate_of_change","replicate","sim_fisher_min_ts60","sim_log_fisher_min_ts60","regime_shift_time_ts60"
0,-1e-04,1,210,590,600
0.05,-1e-04,2,210,540,600
0.1,-1e-04,3,410,310,600
0.15,-1e-04,4,380,400,600
0.2,-1e-04,5,590,590,600
0.25,-1e-04,6,260,260,600
0.3,-1e-04,7,400,400,600
0,-2e-04,8,590,570,478.169491525424
0.05,-2e-04,9,570,570,478.169491525424
0.1,-2e-04,10,590,590,478.169491525424
0.15,-2e-04,11,590,590,478.169491525424
0.2,-2e-04,12,590,590,478.169491525424
0.25,-2e-04,13,590,590,478.169491525424
0.3,-2e-04,14,590,580,478.169491525424
0,-3e-04,15,470,450,315.728813559322
0.05,-3e-04,16,470,450,315.728813559322
0.1,-3e-04,17,450,450,315.728813559322
0.15,-3e-04,18,550,450,315.728813559322
0.2,-3e-04,19,470,450,315.728813559322
0.25,-3e-04,20,470,430,315.728813559322
0.3,-3e-04,21,460,440,315.728813559322
0,-4e-04,22,340,360,254.813559322034
0.05,-4e-04,23,350,360,254.813559322034
0.1,-4e-04,24,350,320,254.813559322034
0.15,-4e-04,25,370,390,254.813559322034
0.2,-4e-04,26,340,350,254.813559322034
0.25,-4e-04,27,390,380,254.813559322034
0.3,-4e-04,28,400,340,254.813559322034
0,-5e-04,29,320,300,193.898305084746
0.05,-5e-04,30,290,290,193.898305084746
0.1,-5e-04,31,310,270,193.898305084746
0.15,-5e-04,32,330,270,193.898305084746
0.2,-5e-04,33,310,270,193.898305084746
0.25,-5e-04,34,350,300,193.898305084746
0.3,-5e-04,35,350,340,193.898305084746
0,-6e-04,36,290,230,173.593220338983
0.05,-6e-04,37,290,230,173.593220338983
0.1,-6e-04,38,320,230,173.593220338983
0.15,-6e-04,39,310,270,173.593220338983
0.2,-6e-04,40,320,270,173.593220338983
0.25,-6e-04,41,290,220,173.593220338983
0.3,-6e-04,42,270,220,173.593220338983
0,-7e-04,43,290,260,143.135593220339
0.05,-7e-04,44,270,260,143.135593220339
0.1,-7e-04,45,300,260,143.135593220339
0.15,-7e-04,46,290,230,143.135593220339
0.2,-7e-04,47,280,230,143.135593220339
0.25,-7e-04,48,240,220,143.135593220339
0.3,-7e-04,49,290,250,143.135593220339
0,-8e-04,50,270,230,132.983050847458
0.05,-8e-04,51,260,230,132.983050847458
0.1,-8e-04,52,260,230,132.983050847458
0.15,-8e-04,53,280,260,132.983050847458
0.2,-8e-04,54,230,210,132.983050847458
0.25,-8e-04,55,310,260,132.983050847458
0.3,-8e-04,56,300,240,132.983050847458
0,-9e-04,57,260,230,112.677966101695
0.05,-9e-04,58,270,230,112.677966101695
0.1,-9e-04,59,230,220,112.677966101695
0.15,-9e-04,60,230,230,112.677966101695
0.2,-9e-04,61,230,210,112.677966101695
0.25,-9e-04,62,250,220,112.677966101695
0.3,-9e-04,63,220,210,112.677966101695
0,-0.001,64,230,210,102.525423728814
0.05,-0.001,65,230,210,102.525423728814
0.1,-0.001,66,230,210,102.525423728814
0.15,-0.001,67,270,230,102.525423728814
0.2,-0.001,68,220,220,102.525423728814
0.25,-0.001,69,260,250,102.525423728814
0.3,-0.001,70,270,210,102.525423728814
0,-1e-04,71,210,590,600
0.05,-1e-04,72,210,210,600
0.1,-1e-04,73,210,210,600
0.15,-1e-04,74,320,340,600
0.2,-1e-04,75,590,460,600
0.25,-1e-04,76,210,210,600
0.3,-1e-04,77,320,350,600
0,-2e-04,78,590,570,478.169491525424
0.05,-2e-04,79,580,580,478.169491525424
0.1,-2e-04,80,590,580,478.169491525424
0.15,-2e-04,81,590,590,478.169491525424
0.2,-2e-04,82,500,590,478.169491525424
0.25,-2e-04,83,590,590,478.169491525424
0.3,-2e-04,84,590,550,478.169491525424
0,-3e-04,85,470,450,315.728813559322
0.05,-3e-04,86,500,460,315.728813559322
0.1,-3e-04,87,470,410,315.728813559322
0.15,-3e-04,88,500,450,315.728813559322
0.2,-3e-04,89,470,430,315.728813559322
