"obs_error","rate_of_change","replicate","sim_fisher_min","sim_log_fisher_min","regime_shift_time"
0,-1e-04,1,21,21,600
0.05,-1e-04,2,21,21,600
0.1,-1e-04,3,21,21,600
0.15,-1e-04,4,21,21,600
0.2,-1e-04,5,21,21,600
0.25,-1e-04,6,81,89,600
0.3,-1e-04,7,21,21,600
0,-2e-04,8,539,462,472
0.05,-2e-04,9,539,541,472
0.1,-2e-04,10,539,546,472
0.15,-2e-04,11,540,599,472
0.2,-2e-04,12,545,462,472
0.25,-2e-04,13,542,545,472
0.3,-2e-04,14,599,599,472
0,-3e-04,15,370,369,314
0.05,-3e-04,16,370,369,314
0.1,-3e-04,17,371,369,314
0.15,-3e-04,18,370,369,314
0.2,-3e-04,19,371,369,314
0.25,-3e-04,20,370,368,314
0.3,-3e-04,21,370,368,314
0,-4e-04,22,296,298,236
0.05,-4e-04,23,296,298,236
0.1,-4e-04,24,297,213,236
0.15,-4e-04,25,296,299,236
0.2,-4e-04,26,298,306,236
0.25,-4e-04,27,297,299,236
0.3,-4e-04,28,298,212,236
0,-5e-04,29,234,232,189
0.05,-5e-04,30,234,232,189
0.1,-5e-04,31,234,232,189
0.15,-5e-04,32,234,233,189
0.2,-5e-04,33,236,235,189
0.25,-5e-04,34,235,232,189
0.3,-5e-04,35,236,233,189
0,-6e-04,36,202,203,157
0.05,-6e-04,37,202,203,157
0.1,-6e-04,38,202,203,157
0.15,-6e-04,39,201,201,157
0.2,-6e-04,40,203,203,157
0.25,-6e-04,41,205,202,157
0.3,-6e-04,42,203,205,157
0,-7e-04,43,190,106,135
0.05,-7e-04,44,190,105,135
0.1,-7e-04,45,190,104,135
0.15,-7e-04,46,190,105,135
0.2,-7e-04,47,191,106,135
0.25,-7e-04,48,191,105,135
0.3,-7e-04,49,190,190,135
0,-8e-04,50,162,159,118
0.05,-8e-04,51,162,159,118
0.1,-8e-04,52,162,159,118
0.15,-8e-04,53,162,159,118
0.2,-8e-04,54,161,159,118
0.25,-8e-04,55,163,160,118
0.3,-8e-04,56,161,158,118
0,-9e-04,57,157,155,105
0.05,-9e-04,58,157,155,105
0.1,-9e-04,59,157,155,105
0.15,-9e-04,60,157,74,105
0.2,-9e-04,61,157,74,105
0.25,-9e-04,62,157,155,105
0.3,-9e-04,63,157,155,105
0,-0.001,64,141,73,95
0.05,-0.001,65,141,73,95
0.1,-0.001,66,142,72,95
0.15,-0.001,67,145,73,95
0.2,-0.001,68,141,73,95
0.25,-0.001,69,140,73,95
0.3,-0.001,70,148,72,95
0,-1e-04,71,21,21,600
0.05,-1e-04,72,50,51,600
0.1,-1e-04,73,77,80,600
0.15,-1e-04,74,85,149,600
0.2,-1e-04,75,184,21,600
0.25,-1e-04,76,50,83,600
0.3,-1e-04,77,21,21,600
0,-2e-04,78,539,462,472
0.05,-2e-04,79,540,462,472
0.1,-2e-04,80,539,540,472
0.15,-2e-04,81,540,546,472
0.2,-2e-04,82,543,462,472
0.25,-2e-04,83,542,463,472
0.3,-2e-04,84,490,462,472
0,-3e-04,85,370,369,314
0.05,-3e-04,86,370,369,314
0.1,-3e-04,87,370,369,314
0.15,-3e-04,88,370,369,314
0.2,-3e-04,89,371,369,314
0.25,-3e-04,90,370,369,314
0.3,-3e-04,91,370,369,314
0,-4e-04,92,296,298,236
0.05,-4e-04,93,295,299,236
0.1,-4e-04,94,297,213,236
0.15,-4e-04,95,296,207,236
0.2,-4e-04,96,296,208,236
0.25,-4e-04,97,297,304,236
0.3,-4e-04,98,294,296,236
0,-5e-04,99,234,232,189
0.05,-5e-04,100,235,232,189
0.1,-5e-04,101,234,232,189
0.15,-5e-04,102,235,238,189
0.2,-5e-04,103,234,232,189
0.25,-5e-04,104,236,234,189
0.3,-5e-04,105,235,233,189
0,-6e-04,106,202,203,157
0.05,-6e-04,107,202,203,157
0.1,-6e-04,108,203,203,157
0.15,-6e-04,109,202,202,157
0.2,-6e-04,110,202,199,157
0.25,-6e-04,111,200,198,157
0.3,-6e-04,112,202,201,157
0,-7e-04,113,190,106,135
0.05,-7e-04,114,190,105,135
0.1,-7e-04,115,191,104,135
0.15,-7e-04,116,191,105,135
0.2,-7e-04,117,190,105,135
0.25,-7e-04,118,190,109,135
0.3,-7e-04,119,190,190,135
0,-8e-04,120,162,159,118
0.05,-8e-04,121,162,159,118
0.1,-8e-04,122,162,159,118
0.15,-8e-04,123,162,159,118
0.2,-8e-04,124,161,159,118
0.25,-8e-04,125,164,161,118
0.3,-8e-04,126,162,159,118
0,-9e-04,127,157,155,105
0.05,-9e-04,128,157,155,105
0.1,-9e-04,129,157,155,105
0.15,-9e-04,130,157,156,105
0.2,-9e-04,131,157,155,105
0.25,-9e-04,132,157,155,105
0.3,-9e-04,133,157,156,105
0,-0.001,134,141,73,95
0.05,-0.001,135,141,73,95
0.1,-0.001,136,141,72,95
0.15,-0.001,137,144,71,95
0.2,-0.001,138,139,72,95
0.25,-0.001,139,140,73,95
0.3,-0.001,140,148,73,95
0,-1e-04,141,21,21,600
0.05,-1e-04,142,21,21,600
0.1,-1e-04,143,21,21,600
0.15,-1e-04,144,49,49,600
0.2,-1e-04,145,21,21,600
0.25,-1e-04,146,158,599,600
0.3,-1e-04,147,357,384,600
0,-2e-04,148,539,462,472
0.05,-2e-04,149,539,462,472
0.1,-2e-04,150,539,542,472
0.15,-2e-04,151,539,544,472
0.2,-2e-04,152,538,541,472
0.25,-2e-04,153,543,462,472
0.3,-2e-04,154,599,597,472
0,-3e-04,155,370,369,314
0.05,-3e-04,156,370,369,314
0.1,-3e-04,157,370,368,314
0.15,-3e-04,158,371,369,314
0.2,-3e-04,159,370,369,314
0.25,-3e-04,160,370,369,314
0.3,-3e-04,161,372,370,314
0,-4e-04,162,296,298,236
0.05,-4e-04,163,296,299,236
0.1,-4e-04,164,296,208,236
0.15,-4e-04,165,297,303,236
0.2,-4e-04,166,296,298,236
0.25,-4e-04,167,296,212,236
0.3,-4e-04,168,296,298,236
0,-5e-04,169,234,232,189
0.05,-5e-04,170,234,232,189
0.1,-5e-04,171,235,233,189
0.15,-5e-04,172,236,234,189
0.2,-5e-04,173,234,232,189
0.25,-5e-04,174,233,230,189
0.3,-5e-04,175,234,231,189
0,-6e-04,176,202,203,157
0.05,-6e-04,177,202,203,157
0.1,-6e-04,178,202,203,157
0.15,-6e-04,179,203,205,157
0.2,-6e-04,180,202,203,157
0.25,-6e-04,181,203,204,157
0.3,-6e-04,182,200,199,157
0,-7e-04,183,190,106,135
0.05,-7e-04,184,190,106,135
0.1,-7e-04,185,190,106,135
0.15,-7e-04,186,191,105,135
0.2,-7e-04,187,190,105,135
0.25,-7e-04,188,189,105,135
0.3,-7e-04,189,191,191,135
0,-8e-04,190,162,159,118
0.05,-8e-04,191,162,159,118
0.1,-8e-04,192,162,159,118
0.15,-8e-04,193,161,159,118
0.2,-8e-04,194,161,158,118
0.25,-8e-04,195,162,159,118
0.3,-8e-04,196,162,160,118
0,-9e-04,197,157,155,105
0.05,-9e-04,198,157,155,105
0.1,-9e-04,199,156,155,105
0.15,-9e-04,200,156,155,105
0.2,-9e-04,201,156,155,105
0.25,-9e-04,202,156,155,105
0.3,-9e-04,203,157,156,105
0,-0.001,204,141,73,95
0.05,-0.001,205,141,73,95
0.1,-0.001,206,151,72,95
0.15,-0.001,207,139,73,95
0.2,-0.001,208,141,72,95
0.25,-0.001,209,105,73,95
0.3,-0.001,210,150,70,95
0,-1e-04,211,21,21,600
0.05,-1e-04,212,43,47,600
0.1,-1e-04,213,21,21,600
0.15,-1e-04,214,21,21,600
0.2,-1e-04,215,567,116,600
0.25,-1e-04,216,348,575,600
0.3,-1e-04,217,82,194,600
0,-2e-04,218,539,462,472
0.05,-2e-04,219,540,462,472
0.1,-2e-04,220,539,462,472
0.15,-2e-04,221,542,462,472
0.2,-2e-04,222,546,462,472
0.25,-2e-04,223,548,462,472
0.3,-2e-04,224,544,462,472
0,-3e-04,225,370,369,314
0.05,-3e-04,226,370,369,314
0.1,-3e-04,227,370,368,314
0.15,-3e-04,228,371,369,314
0.2,-3e-04,229,370,368,314
0.25,-3e-04,230,371,370,314
0.3,-3e-04,231,370,369,314
0,-4e-04,232,296,298,236
0.05,-4e-04,233,296,298,236
0.1,-4e-04,234,297,209,236
0.15,-4e-04,235,297,299,236
0.2,-4e-04,236,295,209,236
0.25,-4e-04,237,300,208,236
0.3,-4e-04,238,298,305,236
0,-5e-04,239,234,232,189
0.05,-5e-04,240,234,232,189
0.1,-5e-04,241,234,231,189
0.15,-5e-04,242,234,232,189
0.2,-5e-04,243,235,233,189
0.25,-5e-04,244,233,231,189
0.3,-5e-04,245,234,231,189
0,-6e-04,246,202,203,157
0.05,-6e-04,247,202,203,157
0.1,-6e-04,248,203,203,157
0.15,-6e-04,249,202,204,157
