"obs_error","rate_of_change","fisher_min_mean","log_fisher_min_mean","regime_shift_time_mean","fisher_diff_mean","fisher_log_diff_mean"
0,-0.001,141,73,95,-46,22
0,-9e-04,157,155,105,-52,-50
0,-8e-04,162,159,118,-44,-41
0,-7e-04,190,106,135,-55,29
0,-6e-04,202,203,157,-45,-46
0,-5e-04,234,232,189,-45,-43
0,-4e-04,296,298,236,-60,-62
0,-3e-04,370,369,314,-56,-55
0,-2e-04,539,462,472,-67,10
0,-1e-04,21,21,600,579,579
0.05,-0.001,141.1,72.8,95,-46.1,22.2
0.05,-9e-04,156.9,155,105,-51.9,-50
0.05,-8e-04,162,159,118,-44,-41
0.05,-7e-04,190,105.4,135,-55,29.6
0.05,-6e-04,202.3,202.9,157,-45.3,-45.9
0.05,-5e-04,234.3,232.1,189,-45.3,-43.1
0.05,-4e-04,295.9,281.1,236,-59.9,-45.1
0.05,-3e-04,370,368.9,314,-56,-54.9
0.05,-2e-04,539.5,486.1,472,-67.5,-14.1
0.05,-1e-04,37.3,37.8,600,562.7,562.2
0.1,-0.001,142.8,72.4,95,-47.8,22.6
0.1,-9e-04,156.6,155,105,-51.6,-50
0.1,-8e-04,162,159,118,-44,-41
0.1,-7e-04,190,113.6,135,-55,21.4
0.1,-6e-04,202.3,202.7,157,-45.3,-45.7
0.1,-5e-04,234.3,232.2,189,-45.3,-43.2
0.1,-4e-04,296.2,237.3,236,-60.2,-1.3
0.1,-3e-04,370.1,368.6,314,-56.1,-54.6
0.1,-2e-04,539.7,494.6,472,-67.7,-22.6
0.1,-1e-04,53.3,39,600,546.7,561
0.15,-0.001,142.8,72.3,95,-47.8,22.7
0.15,-9e-04,156.7,147.1,105,-51.7,-42.1
0.15,-8e-04,161.9,159.1,118,-43.9,-41.1
0.15,-7e-04,190.4,105.1,135,-55.4,29.9
0.15,-6e-04,202,202.6,157,-45,-45.6
0.15,-5e-04,234.6,233.3,189,-45.6,-44.3
0.15,-4e-04,296.5,272,236,-60.5,-36
0.15,-3e-04,370.3,369,314,-56.3,-55
0.15,-2e-04,539.9,516.8,472,-67.9,-44.8
0.15,-1e-04,146.1,47.1,600,453.9,552.9
0.2,-0.001,139.3,72.4,95,-44.3,22.6
0.2,-9e-04,156.6,147.1,105,-51.6,-42.1
0.2,-8e-04,161.8,159.3,118,-43.8,-41.3
0.2,-7e-04,190.5,97.5,135,-55.5,37.5
0.2,-6e-04,202.5,202.5,157,-45.5,-45.5
0.2,-5e-04,234.6,232.7,189,-45.6,-43.7
0.2,-4e-04,297.2,246.5,236,-61.2,-10.5
0.2,-3e-04,370.2,368.5,314,-56.2,-54.5
0.2,-2e-04,540.8,485.8,472,-68.8,-13.8
0.2,-1e-04,134,119.4,600,466,480.6
0.25,-0.001,139.4,72,95,-44.4,23
0.25,-9e-04,157,155.4,105,-52,-50.4
0.25,-8e-04,162.2,159.4,118,-44.2,-41.4
0.25,-7e-04,190.2,97.2,135,-55.2,37.8
0.25,-6e-04,202.4,202,157,-45.4,-45
0.25,-5e-04,234.3,232.2,189,-45.3,-43.2
0.25,-4e-04,297,254.9,236,-61,-18.9
0.25,-3e-04,370.3,368.9,314,-56.3,-54.9
0.25,-2e-04,541.4,502.8,472,-69.4,-30.8
0.25,-1e-04,176.5,197.2,600,423.5,402.8
0.3,-0.001,144.7,72,95,-49.7,23
0.3,-9e-04,156.9,139.1,105,-51.9,-34.1
0.3,-8e-04,161.9,159.2,118,-43.9,-41.2
0.3,-7e-04,190.3,156.8,135,-55.3,-21.8
0.3,-6e-04,203.7,202.4,157,-46.7,-45.4
0.3,-5e-04,234.8,232.6,189,-45.8,-43.6
0.3,-4e-04,297.8,265.5,236,-61.8,-29.5
0.3,-3e-04,370.7,369.3,314,-56.7,-55.3
0.3,-2e-04,541.7,521.2,472,-69.7,-49.2
0.3,-1e-04,209.4,203.4,600,390.6,396.6
