"obs_error","rate_of_change","fisher_min_mean_ts60","log_fisher_min_mean_ts60","regime_shift_time_mean_ts60","fisher_diff_mean_ts60","fisher_log_diff_mean_ts60"
0,-0.001,230,210,102.525423728814,-127.474576271186,-107.474576271186
0,-9e-04,260,230,112.677966101695,-147.322033898305,-117.322033898305
0,-8e-04,270,230,132.983050847458,-137.016949152542,-97.0169491525424
0,-7e-04,290,260,143.135593220339,-146.864406779661,-116.864406779661
0,-6e-04,290,230,173.593220338983,-116.406779661017,-56.4067796610169
0,-5e-04,320,300,193.898305084746,-126.101694915254,-106.101694915254
0,-4e-04,340,360,254.813559322034,-85.1864406779661,-105.186440677966
0,-3e-04,470,450,315.728813559322,-154.271186440678,-134.271186440678
0,-2e-04,590,570,478.169491525424,-111.830508474576,-91.8305084745763
0,-1e-04,210,590,600,390,10
0.05,-0.001,231,212,102.525423728814,-128.474576271186,-109.474576271186
0.05,-9e-04,255,230,112.677966101695,-142.322033898305,-117.322033898305
0.05,-8e-04,266,239,132.983050847458,-133.016949152542,-106.016949152542
0.05,-7e-04,272,256,143.135593220339,-128.864406779661,-112.864406779661
0.05,-6e-04,263,247,173.593220338983,-89.4067796610169,-73.4067796610169
0.05,-5e-04,305,295,193.898305084746,-111.101694915254,-101.101694915254
0.05,-4e-04,373,365,254.813559322034,-118.186440677966,-110.186440677966
0.05,-3e-04,477,452,315.728813559322,-161.271186440678,-136.271186440678
0.05,-2e-04,583,582,478.169491525424,-104.830508474576,-103.830508474576
0.05,-1e-04,265,337,600,335,263
0.1,-0.001,231,214,102.525423728814,-128.474576271186,-111.474576271186
0.1,-9e-04,254,225,112.677966101695,-141.322033898305,-112.322033898305
0.1,-8e-04,256,240,132.983050847458,-123.016949152542,-107.016949152542
0.1,-7e-04,270,254,143.135593220339,-126.864406779661,-110.864406779661
0.1,-6e-04,283,250,173.593220338983,-109.406779661017,-76.4067796610169
0.1,-5e-04,320,290,193.898305084746,-126.101694915254,-96.1016949152542
0.1,-4e-04,366,355,254.813559322034,-111.186440677966,-100.186440677966
0.1,-3e-04,458,447,315.728813559322,-142.271186440678,-131.271186440678
0.1,-2e-04,551,583,478.169491525424,-72.8305084745763,-104.830508474576
0.1,-1e-04,297,337,600,303,263
0.15,-0.001,237,217,102.525423728814,-134.474576271186,-114.474576271186
0.15,-9e-04,250,226,112.677966101695,-137.322033898305,-113.322033898305
0.15,-8e-04,259,247,132.983050847458,-126.016949152542,-114.016949152542
0.15,-7e-04,278,248,143.135593220339,-134.864406779661,-104.864406779661
0.15,-6e-04,285,264,173.593220338983,-111.406779661017,-90.4067796610169
0.15,-5e-04,327,286,193.898305084746,-133.101694915254,-92.1016949152542
0.15,-4e-04,356,355,254.813559322034,-101.186440677966,-100.186440677966
0.15,-3e-04,479,448,315.728813559322,-163.271186440678,-132.271186440678
0.15,-2e-04,588,588,478.169491525424,-109.830508474576,-109.830508474576
0.15,-1e-04,359,349,600,241,251
0.2,-0.001,247,215,102.525423728814,-144.474576271186,-112.474576271186
0.2,-9e-04,263,221,112.677966101695,-150.322033898305,-108.322033898305
0.2,-8e-04,265,224,132.983050847458,-132.016949152542,-91.0169491525424
0.2,-7e-04,289,251,143.135593220339,-145.864406779661,-107.864406779661
0.2,-6e-04,301,267,173.593220338983,-127.406779661017,-93.4067796610169
0.2,-5e-04,306,301,193.898305084746,-112.101694915254,-107.101694915254
0.2,-4e-04,370,348,254.813559322034,-115.186440677966,-93.1864406779661
0.2,-3e-04,471,449,315.728813559322,-155.271186440678,-133.271186440678
0.2,-2e-04,581,586,478.169491525424,-102.830508474576,-107.830508474576
0.2,-1e-04,469,457,600,131,143
0.25,-0.001,248,217,102.525423728814,-145.474576271186,-114.474576271186
0.25,-9e-04,248,219,112.677966101695,-135.322033898305,-106.322033898305
0.25,-8e-04,256,229,132.983050847458,-123.016949152542,-96.0169491525424
0.25,-7e-04,277,239,143.135593220339,-133.864406779661,-95.864406779661
0.25,-6e-04,293,257,173.593220338983,-119.406779661017,-83.4067796610169
0.25,-5e-04,322,287,193.898305084746,-128.101694915254,-93.1016949152542
0.25,-4e-04,388,357,254.813559322034,-133.186440677966,-102.186440677966
0.25,-3e-04,460,443,315.728813559322,-144.271186440678,-127.271186440678
0.25,-2e-04,580,586,478.169491525424,-101.830508474576,-107.830508474576
0.25,-1e-04,311,352,600,289,248
0.3,-0.001,257,216,102.525423728814,-154.474576271186,-113.474576271186
0.3,-9e-04,253,219,112.677966101695,-140.322033898305,-106.322033898305
0.3,-8e-04,266,244,132.983050847458,-133.016949152542,-111.016949152542
0.3,-7e-04,286,232,143.135593220339,-142.864406779661,-88.864406779661
0.3,-6e-04,296,262,173.593220338983,-122.406779661017,-88.4067796610169
0.3,-5e-04,334,302,193.898305084746,-140.101694915254,-108.101694915254
0.3,-4e-04,367,348,254.813559322034,-112.186440677966,-93.1864406779661
0.3,-3e-04,460,444,315.728813559322,-144.271186440678,-128.271186440678
0.3,-2e-04,587,580,478.169491525424,-108.830508474576,-101.830508474576
0.3,-1e-04,324,360,600,276,240
